Artwork_ID,Platform,Style,Creator_Type,Views,Likes,Shares,Comments,Price (USD),Engagement_Score
ART_1,Foundation,Abstract,Hybrid,475256,8820,5333,16518,3695.97,0.13
ART_2,Foundation,Pixel Art,Hybrid,495947,33677,695,7780,78.19,0.21
ART_3,SuperRare,Abstract,Individual,358957,69803,39782,18294,631.75,0.45
ART_4,Opensea,Minimalist,Individual,388479,44801,11225,19008,3156.75,0.3
ART_5,SuperRare,Surreal,AI Model,129250,94963,31021,19210,4133.1,0.73
ART_6,Opensea,Futuristic,Individual,479590,81686,5524,9873,1787.49,0.36
ART_7,Foundation,Futuristic,Individual,410157,64157,27496,5775,4724.39,0.96
ART_8,Instagram,Futuristic,Individual,246084,9693,23404,592,3487.16,0.84
ART_9,DeviantArt,Surreal,AI Model,56899,67349,6845,4843,1178.37,0.86
ART_10,Foundation,Cyberpunk,Individual,59491,61618,24314,848,4246.48,0.26
ART_11,SuperRare,Surreal,Individual,203623,66724,26710,18090,4174.96,0.3
ART_12,Foundation,Minimalist,Individual,306629,71638,46590,6726,674.61,0.5
ART_13,Instagram,Minimalist,AI Model,199727,57630,41123,19238,1918.18,0.98
ART_14,Foundation,Pixel Art,AI Model,356021,78208,1414,5454,570.39,0.54
ART_15,SuperRare,Cyberpunk,Hybrid,418274,2075,4672,6525,614.01,0.32
ART_16,Opensea,Pixel Art,AI Model,494708,74008,30359,13549,2471.64,0.47
ART_17,Instagram,Minimalist,Hybrid,3145,58131,42077,11577,1772.62,0.82
ART_18,Opensea,Cyberpunk,Hybrid,139468,62381,27625,17440,3226.96,0.66
ART_19,Foundation,Minimalist,Hybrid,452979,61130,16424,10116,1314.48,0.24
ART_20,Instagram,Portrait,Hybrid,439673,61438,28898,7264,2196.5,0.24
ART_21,Instagram,Pixel Art,Individual,384552,25835,17000,972,444.62,0.49
ART_22,Opensea,Portrait,Hybrid,29972,78234,29848,1110,1217.54,0.56
ART_23,Foundation,Cyberpunk,AI Model,496419,36603,48881,11235,600.42,0.83
ART_24,DeviantArt,Surreal,Hybrid,252544,67230,22138,8017,4701.27,0.31
ART_25,Instagram,Cyberpunk,Individual,120343,71332,20277,1140,955.97,0.43
ART_26,Foundation,Cyberpunk,AI Model,299618,59325,48844,3917,2754.53,0.92
ART_27,Instagram,Futuristic,Hybrid,61218,18480,2660,10739,3853.54,0.18
ART_28,Instagram,Cyberpunk,Hybrid,373511,41884,34184,11432,4917.04,0.55
ART_29,Foundation,Abstract,Hybrid,134067,61865,15998,3329,387.54,0.46
ART_30,Instagram,Minimalist,AI Model,217573,36199,40437,4254,4664.17,0.63
ART_31,Foundation,Futuristic,AI Model,436443,70118,45804,1773,1635.62,0.83
ART_32,Foundation,Portrait,AI Model,63844,60491,31363,15262,4813.75,0.55
ART_33,Opensea,Minimalist,Individual,43565,91456,15253,13124,442.94,0.95
ART_34,Instagram,Cyberpunk,Individual,47260,95629,20819,10907,3268.5,0.7
ART_35,SuperRare,Pixel Art,Hybrid,473413,79624,16773,8107,681.67,0.92
ART_36,SuperRare,Surreal,Individual,170175,34843,4017,14718,559.93,0.79
ART_37,Instagram,Surreal,Individual,268923,78356,43791,18946,1343.29,0.85
ART_38,SuperRare,Abstract,Individual,130325,63091,27680,11156,4486.83,0.14
ART_39,Instagram,Pixel Art,Individual,5246,68626,10347,14676,3312.3,0.31
ART_40,Opensea,Pixel Art,Hybrid,77862,26268,12453,7550,3323.49,0.57
ART_41,Instagram,Portrait,AI Model,165546,5345,44628,5193,4579.91,0.53
ART_42,Instagram,Cyberpunk,Hybrid,316708,29187,8470,5743,2945.33,0.53
ART_43,DeviantArt,Cyberpunk,AI Model,204632,63798,39587,8496,3279.66,0.94
ART_44,DeviantArt,Pixel Art,Hybrid,126992,81775,46125,1555,605.93,0.2
ART_45,Foundation,Futuristic,Individual,60256,73125,16347,15104,1255.23,0.58
ART_46,Instagram,Abstract,AI Model,2982,3930,47060,17339,772.87,0.5
ART_47,Opensea,Cyberpunk,Individual,357210,66198,48647,1811,3767.24,0.73
ART_48,Foundation,Portrait,AI Model,263212,95046,21780,7358,3703.87,0.77
ART_49,DeviantArt,Abstract,AI Model,203134,58968,3109,19764,4367.56,0.26
